         356816814 function calls (356815059 primitive calls) in 847.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.002    0.000    0.015    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\defusedxml\ElementTree.py:69(__init__)
       27    0.002    0.000    0.053    0.002 <frozen importlib._bootstrap_external>:1302(_get_spec)
      104    0.002    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:185(needs_filling)
      126    0.002    0.000    0.002    0.000 {built-in method zlib.decompressobj}
      304    0.002    0.000    0.092    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:480(<genexpr>)
      254    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:195(__init__)
      101    0.002    0.000    0.025    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:757(get_slice)
      210    0.002    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:344(__init__)
  650/629    0.002    0.000    0.102    0.000 {built-in method builtins.all}
      253    0.002    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:498(_shallow_copy)
      138    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      107    0.002    0.000    2.984    0.028 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:954(to_native_types)
      113    0.002    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:214(__init__)
      771    0.002    0.000    0.567    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:47(isna)
     2187    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:233(mgr_locs)
       21    0.002    0.000    0.454    0.022 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:295(__init__)
     1090    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
1126/1028    0.002    0.000    0.009    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_asarray.py:14(asarray)
       21    0.002    0.000    0.002    0.000 {method 'close' of '_io.BufferedReader' objects}
      204    0.002    0.000    0.005    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\common.py:218(asarray_tuplesafe)
      170    0.002    0.000    1.214    0.007 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\frame.py:441(__init__)
      658    0.002    0.000    0.008    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:491(asi8)
      799    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      825    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      598    0.002    0.000    0.061    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5557(ensure_index)
      591    0.002    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1733(pandas_dtype)
      271    0.002    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:2178(_validate_dt64_dtype)
       48    0.002    0.000    0.065    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
      133    0.002    0.000    0.536    0.004 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1199(maybe_infer_to_datetimelike)
      222    0.002    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:212(shape)
      300    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      280    0.002    0.000    0.022    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:598(is_excluded_dtype)
       21    0.002    0.000    0.057    0.003 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:2327(__init__)
      224    0.002    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:176(_consolidate_key)
       21    0.002    0.000    0.969    0.046 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:456(get_result)
      175    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:501(do_xf)
     1005    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:188(<lambda>)
       24    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:951(_get_options_with_defaults)
      205    0.002    0.000    0.625    0.003 <__array_function__ internals>:2(concatenate)
      101    0.002    0.000    0.039    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexing.py:1500(_get_slice_axis)
      569    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:348(is_datetime64_dtype)
       63    0.002    0.000    0.005    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:621(getiterator)
       27    0.002    0.000    0.848    0.031 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\construction.py:329(_homogenize)
      122    0.002    0.000    0.040    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\datetimes.py:246(__new__)
      602    0.002    0.000    0.027    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_methods.py:53(_any)
       69    0.002    0.000    0.005    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:321(_verify_integrity)
       84    0.002    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1568(construct_1d_object_array_from_listlike)
       56    0.002    0.000    0.472    0.008 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:306(_concatenate_join_units)
      126    0.002    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\shape_base.py:82(atleast_2d)
      811    0.002    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:322(is_hashable)
      114    0.001    0.000    0.014    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:358(array_equivalent)
       84    0.001    0.000    0.092    0.001 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:571(parse)
      398    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:287(_slice)
      137    0.001    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\datetimes.py:285(_simple_new)
       42    0.001    0.000    0.753    0.018 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
       27    0.001    0.000    1.210    0.045 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\construction.py:237(init_dict)
       21    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:2662(_infer_columns)
      280    0.001    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\_mixins.py:70(shape)
      101    0.001    0.000    0.041    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexing.py:864(__getitem__)
      483    0.001    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\construction.py:339(extract_array)
      764    0.001    0.000    0.005    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:567(__len__)
      185    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:377(_get_axis)
      126    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:1049(close)
       24    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1412(__init__)
      299    0.001    0.000    0.012    0.000 {method 'any' of 'numpy.ndarray' objects}
       21    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\sheet.py:319(__init__)
      104    0.001    0.000    0.095    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:465(_is_uniform_join_units)
        3    0.001    0.000    0.001    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       21    0.001    0.000    2.351    0.112 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:3185(_rows_to_cols)
      799    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\abc.py:96(__instancecheck__)
      519    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:544(_reset_identity)
       21    0.001    0.000    0.411    0.020 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1889(_consolidate)
       48    0.001    0.000    0.089    0.002 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1827(_multi_blockify)
      173    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:5095(__finalize__)
      663    0.001    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:214(<genexpr>)
       27    0.001    0.000    0.056    0.002 <frozen importlib._bootstrap>:890(_find_spec)
       69    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       45    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1637(_maybe_dedup_names)
       51    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\urllib\parse.py:417(urlsplit)
       21    0.001    0.000    0.025    0.001 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:1218(__init__)
      101    0.001    0.000    0.122    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\formats\format.py:1637(_get_format_datetime64_from_values)
      398    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:111(_simple_new)
       84    0.001    0.000    0.105    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\defusedxml\common.py:97(parse)
      188    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:138(<listcomp>)
      347    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:135(_check_ndim)
     1080    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       21    0.001    0.000    0.021    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:330(process_rels)
      852    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:216(ndim)
        3    0.001    0.000    0.002    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\resample.py:1509(_adjust_bin_edges)
       84    0.001    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5724(_maybe_cast_data_without_dtype)
       24    0.001    0.000    0.107    0.004 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1176(_make_engine)
     1005    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:183(classes_and_not_datetimelike)
     2160    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      444    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:905(is_datetime64_any_dtype)
        6    0.001    0.000    0.103    0.017 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1300(_slice_take_blocks_ax0)
      199    0.001    0.000    0.034    0.000 {method 'sum' of 'numpy.ndarray' objects}
     1587    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:478(dtype)
       21    0.001    0.000    0.012    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:306(process_coreprops)
       36    0.001    0.000    0.046    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\construction.py:57(array)
      102    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:456(_array_equivalent_object)
      200    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:608(is_dtype_equal)
      101    0.001    0.000    0.013    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:763(<listcomp>)
       24    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1005(_clean_options)
      252    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1636(_default)
      393    0.001    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:464(_ndarray)
      101    0.001    0.000    0.010    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\_mixins.py:93(ravel)
      427    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:365(_get_axis_number)
      113    0.001    0.000    0.008    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:469(_from_backing_data)
       21    0.001    0.000  736.598   35.076 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py:30(load_workbook)
      164    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1182(name)
       66    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
      164    0.001    0.000    0.002    0.000 {built-in method pandas._libs.tslibs.offsets.to_offset}
      817    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       21    0.001    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:257(_EndRecData)
      101    0.001    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2374(__init__)
       63    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:2929(_next_line)
      146    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:598(_ensure_dtype_type)
      104    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1841(is_object)
       27    0.001    0.000    0.093    0.003 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\common.py:356(get_handle)
       69    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      336    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\encodings\cp437.py:14(decode)
       21    0.001    0.000   68.565    3.265 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_base.py:872(parse)
       72    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1237(_is_potential_multi_index)
      181    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1846(_asarray_compat)
       42    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       36    0.001    0.000    0.047    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:403(_wrap_datetimelike)
       21    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:373(do_sheet)
      419    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       65    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:256(make_block_same_class)
      303    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4985(_validate_indexer)
       24    0.001    0.000    0.112    0.005 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:856(__init__)
      158    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:1764(maybe_infer_freq)
       27    0.001    0.000    0.114    0.004 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:4214(reindex)
      475    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1175(name)
       90    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2728(_extend_blocks)
      126    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:719(_get_decompressor)
        3    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\tools\datetimes.py:79(should_cache)
      336    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
      101    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3115(_validate_positional_slice)
      304    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:476(<genexpr>)
      183    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:750(is_signed_integer_dtype)
       69    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:683(_consolidate_check)
      689    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:315(dtype)
      376    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:323(<genexpr>)
      112    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       21    0.001    0.000  805.180   38.342 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_base.py:273(read_excel)
       18    0.001    0.000    0.089    0.005 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:364(concat_datetime)
      102    0.001    0.000    0.001    0.000 {method 'fill' of 'numpy.ndarray' objects}
      126    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(atleast_2d)
       49    0.001    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:491(do_numfmt)
       51    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\urllib\parse.py:366(urlparse)
      294    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:326(convert_filename)
       21    0.001    0.000    1.425    0.068 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\frame.py:7610(append)
       27    0.001    0.000    0.049    0.002 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\series.py:335(_init_dict)
       18    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:675(<setcomp>)
       78    0.001    0.000    0.383    0.005 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:5197(_protect_consolidate)
       27    0.001    0.000    0.247    0.009 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1675(create_block_manager_from_arrays)
       42    0.001    0.000    0.011    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1206(iterparse)
       24    0.001    0.000    0.008    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\series.py:4211(_reduce)
       56    0.001    0.000    0.285    0.005 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:316(<listcomp>)
       42    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\distutils\version.py:307(parse)
      102    0.001    0.000    0.001    0.000 {pandas._libs.lib.array_equivalent_object}
       24    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\range.py:86(__new__)
      158    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:382(_get_block_manager_axis)
       21    0.001    0.000  736.614   35.077 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_base.py:847(__init__)
      126    0.001    0.000    0.001    0.000 {built-in method pyexpat.ParserCreate}
      117    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\ntpath.py:289(expanduser)
       98    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2029(array_values)
       48    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
       42    0.001    0.000    0.005    0.000 {built-in method builtins.__build_class__}
      216    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      138    0.001    0.000    0.002    0.000 {built-in method builtins.sum}
       42    0.001    0.000    0.015    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\defusedxml\common.py:107(iterparse)
       69    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      126    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1223(is_numeric_dtype)
      101    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:3582(_set_is_copy)
      223    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:500(tz)
       45    0.001    0.000    0.128    0.003 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1812(_simple_blockify)
      104    0.001    0.000    0.005    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:194(dtype)
      196    0.001    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_methods.py:56(_all)
       69    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:684(<listcomp>)
      222    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:128(is_nonempty)
      503    0.001    0.000    0.012    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3870(_values)
      178    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1265(is_string_like_dtype)
       28    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1921(<listcomp>)
      126    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:738(__init__)
      243    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        6    0.001    0.000    0.005    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:34(__init__)
       21    0.001    0.000  736.604   35.076 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_base.py:339(__init__)
      120    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:675(is_consolidated)
      333    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:148(<genexpr>)
       66    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
       81    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:263(is_dict_like)
      117    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\common.py:67(_expand_user)
      126    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:768(close)
      259    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\extension.py:53(fget)
      228    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:550(_next_or_none)
       87    0.001    0.000    0.002    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\common.py:97(stringify_path)
      168    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:806(is_unsigned_integer_dtype)
       75    0.001    0.000    0.382    0.005 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:5211(f)
      147    0.001    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:1947(_fpclose)
       21    0.001    0.000    0.008    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\compat\_optional.py:61(import_optional_dependency)
      293    0.001    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\range.py:687(__len__)
      199    0.001    0.000    0.033    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_methods.py:45(_sum)
       18    0.000    0.000    0.039    0.002 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:671(_concat_same_type)
      138    0.000    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\series.py:442(name)
       69    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
        9    0.000    0.000    0.001    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
       81    0.000    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\series.py:398(_set_axis)
       51    0.000    0.000    0.009    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1564(from_array)
       45    0.000    0.000    0.000    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\numerictypes.py:621(<listcomp>)
       24    0.000    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\nanops.py:237(_get_values)
      210    0.000    0.000    0.001    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:461(_decodeExtra)
